Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style
Hiri Hiri,Papua New Guinea,Middle order Batter,false,false,false,,,
Lega Siaka,Papua New Guinea,Opening Batter,false,false,false,,,
Tony Ura,Papua New Guinea,Opening Batter,false,false,false,,,
Hila Vare,Papua New Guinea,Batter,false,false,false,,,
Charles Amini,Papua New Guinea,Allrounder,false,false,true,,,
Jack Gardner,Papua New Guinea,Bowler,false,false,false,,,
Semo Kamea,Papua New Guinea,Bowler,false,false,false,,,
John Kariko,Papua New Guinea,Bowler,false,false,false,,,
Kabua Morea,Papua New Guinea,Bowler,false,false,false,,,
Alei Nao,Papua New Guinea,Bowler,false,false,false,,,
Chad Soper,Papua New Guinea,Bowler,false,false,false,,,
Norman Vanua,Papua New Guinea,Bowler,false,false,false,,,
Richie Berrington,Scotland,Top order Batter,false,true,false,,,
Matthew Cross,Scotland,Wicketkeeper Batter,false,false,false,,,
Ollie Hairs,Scotland,Opening Batter,false,false,false,,,
Michael Jones,Scotland,Top order Batter,false,false,false,,,
George Munsey,Scotland,Opening Batter,false,false,false,,,
Charlie Tear,Scotland,Wicketkeeper Batter,false,false,false,,,
Michael Leask,Scotland,Allrounder,false,false,false,,,
Brandon McMullen,Scotland,Batting Allrounder,false,false,false,,,
Brad Currie,Scotland,Bowler,false,false,false,,,
Chris Greaves,Scotland,Bowler,false,false,false,,,
Jack Jarvis,Scotland,Bowler,false,false,false,,,
Safyaan Sharif,Scotland,Bowler,false,false,false,,,
Chris Sole,Scotland,Bowler,false,false,false,,,
Mark Watt,Scotland,Bowler,false,false,false,,,
Brad Wheal,Scotland,Bowler,false,false,false,,,
Aiden Markram,South Africa,Opening Batter,false,true,false,,,
Quinton de Kock,South Africa,Wicketkeeper Batter,false,false,false,,,
Reeza Hendricks,South Africa,Opening Batter,false,false,false,,,
Heinrich Klaasen,South Africa,Wicketkeeper Batter,false,false,false,,,
David Miller,South Africa,Middle order Batter,false,false,false,,,
Ryan Rickelton,South Africa,Wicketkeeper Batter,false,false,false,,,
Tristan Stubbs,South Africa,Batter,false,false,false,,,
Marco Jansen,South Africa,Bowling Allrounder,false,false,false,,,
Ottneil Baartman,South Africa,Bowler,false,false,false,,,
Gerald Coetzee,South Africa,Bowler,false,false,false,,,
Bjorn Fortuin,South Africa,Bowler,false,false,false,,,
Keshav Maharaj,South Africa,Bowler,false,false,false,,,
Anrich Nortje,South Africa,Bowler,false,false,false,,,
Kagiso Rabada,South Africa,Bowler,false,false,false,,,
Tabraiz Shamsi,South Africa,Bowler,false,false,false,,,
Kusal Mendis,Sri Lanka,Wicketkeeper Batter,false,false,false,,,
Pathum Nissanka,Sri Lanka,Top order Batter,false,false,false,,,
Sadeera Samarawickrama,Sri Lanka,Wicketkeeper Batter,false,false,false,,,
Wanindu Hasaranga,Sri Lanka,Allrounder,false,true,false,,,
Charith Asalanka,Sri Lanka,Batting Allrounder,false,false,true,,,
Dhananjaya de Silva,Sri Lanka,Allrounder,false,false,false,,,
Angelo Mathews,Sri Lanka,Allrounder,false,false,false,,,
Kamindu Mendis,Sri Lanka,Allrounder,false,false,false,,,
Dasun Shanaka,Sri Lanka,Allrounder,false,false,false,,,
Dushmantha Chameera,Sri Lanka,Bowler,false,false,false,,,
Dilshan Madushanka,Sri Lanka,Bowler,false,false,false,,,
Matheesha Pathirana,Sri Lanka,Bowler,false,false,false,,,
Maheesh Theekshana,Sri Lanka,Bowler,false,false,false,,,
Nuwan Thushara,Sri Lanka,Bowler,false,false,false,,,
Dunith Wellalage,Sri Lanka,Bowler,false,false,false,,,
Fred Achelam,Uganda,Wicketkeeper Batter,false,false,false,,,
Roger Mukasa,Uganda,Batter,false,false,false,,,
Robinson Obuya,Uganda,Batter,false,false,false,,,
Ronak Patel,Uganda,Batter,false,false,false,,,
Simon Ssesazi,Uganda,Wicketkeeper Batter,false,false,false,,,
Riazat Ali Shah,Uganda,Batting Allrounder,false,false,true,,,
Dinesh Nakrani,Uganda,Allrounder,false,false,false,,,
Frank Nsubuga,Uganda,Allrounder,false,false,false,,,
Alpesh Ramjani,Uganda,Allrounder,false,false,false,,,
Kenneth Waiswa,Uganda,Allrounder,false,false,false,,,
Brian Masaba,Uganda,Bowler,false,true,false,,,
Bilal Hassan,Uganda,Bowler,false,false,false,,,
Cosmas Kyewuta,Uganda,Bowler,false,false,false,,,
Juma Miyagi,Uganda,Bowler,false,false,false,,,
Henry Ssenyondo,Uganda,Bowler,false,false,false,,,
Monank Patel,United States of America,Wicketkeeper Batter,false,true,false,,,
Aaron Jones,United States of America,Top order Batter,false,false,true,,,
Andries Gous,United States of America,Wicketkeeper Batter,false,false,false,,,
Nitish Kumar,United States of America,Top order Batter,false,false,false,,,
Shayan Jahangir,United States of America,Batter,false,false,false,,,
Steven Taylor,United States of America,Opening Batter,false,false,false,,,
Corey Anderson,United States of America,Batting Allrounder,false,false,false,,,
Harmeet Singh,United States of America,Bowling Allrounder,false,false,false,,,
Milind Kumar,United States of America,Allrounder,false,false,false,,,
Nisarg Patel,United States of America,Allrounder,false,false,false,,,
Shadley van Schalkwyk,United States of America,Allrounder,false,false,false,,,
Ali Khan,United States of America,Bowler,false,false,false,,,
Jasdeep Singh,United States of America,Bowler,false,false,false,,,
Nosthush Kenjige,United States of America,Bowler,false,false,false,,,
Saurabh Netravalkar,United States of America,Bowler,false,false,false,,,
Rovman Powell,West Indies,Middle order Batter,false,true,false,,,
Johnson Charles,West Indies,Wicketkeeper Batter,false,false,false,,,
Shimron Hetmyer,West Indies,Middle order Batter,false,false,false,,,
Shai Hope,West Indies,Wicketkeeper Batter,false,false,false,,,
Nicholas Pooran,West Indies,Wicketkeeper Batter,false,false,false,,,
Sherfane Rutherford,West Indies,Middle order Batter,false,false,false,,,
Brandon King,West Indies,Top order Batter,true,false,false,,,
Roston Chase,West Indies,Allrounder,false,false,false,,,
Kyle Mayers,West Indies,Batting Allrounder,false,false,false,,,
Andre Russell,West Indies,Allrounder,false,false,false,,,
Romario Shepherd,West Indies,Bowling Allrounder,false,false,false,,,
Jason Holder,West Indies,Bowling Allrounder,true,false,false,,,
Alzarri Joseph,West Indies,Bowler,false,false,true,,,
Akeal Hosein,West Indies,Bowler,false,false,false,,,
Shamar Joseph,West Indies,Bowler,false,false,false,,,
Obed McCoy,West Indies,Bowler,false,false,false,,,
Gudakesh Motie,West Indies,Bowler,false,false,false,,,
