Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style
Rohit Paudel,Nepal,Batting Allrounder,false,true,false,21y 242d,Right hand Bat,Right arm Offbreak
Gulsan Jha,Nepal,Allrounder,false,false,false,18y 74d,Left hand Bat,Right arm Medium
Karan KC,Nepal,Allrounder,false,false,false,32y 204d,Right hand Bat,Right arm Fast
Kushal Malla,Nepal,Batting Allrounder,false,false,false,20y 57d,Left hand Bat,Slow Left arm Orthodox
Sompal Kami,Nepal,Bowling Allrounder,false,false,false,28y 89d,Right hand Bat,Right arm Fast medium
Pratis GC,Nepal,Bowling Allrounder,true,false,false,19y 345d,Right hand Bat,Left arm Medium
Kamal Airee,Nepal,Bowler,false,false,false,23y 134d,Right hand Bat,Right arm Medium
Abinash Bohara,Nepal,Bowler,false,false,false,26y 276d,Right hand Bat,Right arm Medium
Sagar Dhakal,Nepal,Bowler,false,false,false,22y 139d,Right hand Bat,Slow Left arm Orthodox
Sandeep Lamichhane,Nepal,Bowler,false,false,false,23y 273d,Right hand Bat,Legbreak Googly
Lalit Rajbanshi,Nepal,Bowler,false,false,false,25y 64d,Right hand Bat,Slow Left arm Orthodox
Scott Edwards,Netherlands,Wicketkeeper Batter,false,true,false,27y 264d,Right hand Bat,
Wesley Barresi,Netherlands,Batter,false,false,false,40y 10d,Right hand Bat,Right arm Offbreak
Michael Levitt,Netherlands,Top order Batter,false,false,false,20y 329d,Right hand Bat,Right arm Fast
Max O'Dowd,Netherlands,Opening Batter,false,false,false,30y 70d,Right hand Bat,Right arm Offbreak
Vikramjit Singh,Netherlands,Opening Batter,false,false,false,21y 125d,Left hand Bat,Right arm Medium
Bas de Leede,Netherlands,Batting Allrounder,false,false,false,24y 180d,Right hand Bat,Right arm Fast medium
Sybrand Engelbrecht,Netherlands,Allrounder,false,false,false,35y 241d,Right hand Bat,Right arm Offbreak
Teja Nidamanuru,Netherlands,Allrounder,false,false,false,29y 265d,Right hand Bat,Right arm Offbreak
Tim Pringle,Netherlands,Allrounder,false,false,false,21y 258d,Right hand Bat,Slow Left arm Orthodox
Saqib Zulfiqar,Netherlands,Bowling Allrounder,false,false,false,27y 46d,Right hand Bat,Legbreak
Aryan Dutt,Netherlands,Bowler,false,false,false,21y 1d,Right hand Bat,Right arm Offbreak
Vivian Kingma,Netherlands,Bowler,false,false,false,29y 203d,Right hand Bat,Right arm Medium fast
Kyle Klein,Netherlands,Bowler,false,false,false,22y 315d,Right hand Bat,Right arm Medium
Logan van Beek,Netherlands,Bowler,false,false,false,33y 249d,Right hand Bat,Right arm Medium fast
Paul van Meekeren,Netherlands,Bowler,false,false,false,31y 119d,Right hand Bat,Right arm Fast medium
Daniel Doram,Netherlands,Bowler,true,false,false,26y 213d,Left hand Bat,Slow Left arm Orthodox
Fred Klaassen,Netherlands,Bowler,true,false,false,31y 182d,Right hand Bat,Left arm Fast medium
Kane Williamson,New Zealand,Top order Batter,false,true,false,33y 265d,Right hand Bat,Right arm Offbreak
Finn Allen,New Zealand,Top order Batter,false,false,false,25y 7d,Right hand Bat,
Devon Conway,New Zealand,Wicketkeeper Batter,false,false,false,32y 296d,Left hand Bat,Right arm Medium
Michael Bracewell,New Zealand,Batting Allrounder,false,false,false,33y 75d,Left hand Bat,Right arm Offbreak
Mark Chapman,New Zealand,Allrounder,false,false,false,29y 307d,Left hand Bat,Slow Left arm Orthodox
Daryl Mitchell,New Zealand,Batting Allrounder,false,false,false,32y 345d,Right hand Bat,Right arm Medium
James Neesham,New Zealand,Batting Allrounder,false,false,false,33y 225d,Left hand Bat,Right arm Medium fast
Glenn Phillips,New Zealand,Allrounder,false,false,false,27y 145d,Right hand Bat,Right arm Offbreak
Rachin Ravindra,New Zealand,Batting Allrounder,false,false,false,24y 163d,Left hand Bat,Slow Left arm Orthodox
Mitchell Santner,New Zealand,Bowling Allrounder,false,false,false,32y 84d,Left hand Bat,Slow Left arm Orthodox
Trent Boult,New Zealand,Bowler,false,false,false,34y 282d,Right hand Bat,Left arm Fast medium
Lockie Ferguson,New Zealand,Bowler,false,false,false,32y 321d,Right hand Bat,Right arm Fast
Matt Henry,New Zealand,Bowler,false,false,false,32y 137d,Right hand Bat,Right arm Fast medium
Ish Sodhi,New Zealand,Bowler,false,false,false,31y 181d,Right hand Bat,Legbreak
Tim Southee,New Zealand,Bowler,false,false,false,35y 140d,Right hand Bat,Right arm Medium fast
Aqib Ilyas,Oman,Top order Batter,false,true,false,31y 239d,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Pratik Athavale,Oman,Wicketkeeper Batter,false,false,false,27y 11d,Right hand Bat,Right arm Offbreak
Khalid Kail,Oman,Middle order Batter,false,false,false,27y 201d,Right hand Bat,
Mehran Khan,Oman,Batter,false,false,false,37y 18d,Right hand Bat,Right arm Medium fast
Naseem Khushi,Oman,Wicketkeeper,false,false,false,41y 264d,Right hand Bat,
Kashyap Prajapati,Oman,Top order Batter,false,false,false,28y 203d,Right hand Bat,Right arm Offbreak
Shoaib Khan,Oman,Batter,false,false,false,31y 147d,Right hand Bat,Right arm Medium
Zeeshan Maqsood,Oman,Opening Batter,false,false,false,36y 190d,Left hand Bat,Slow Left arm Orthodox
Ayaan Khan,Oman,Allrounder,false,false,false,31y 245d,Left hand Bat,Slow Left arm Orthodox
Mohammad Nadeem,Oman,Allrounder,false,false,false,41y 240d,Right hand Bat,Right arm Medium fast
Bilal Khan,Oman,Bowler,false,false,false,37y 21d,Left hand Bat,Left arm Medium fast
Fayyaz Butt,Oman,Bowler,false,false,false,30y 258d,Right hand Bat,Right arm Medium fast
Kaleemullah,Oman,Bowler,false,false,false,33y 129d,Right hand Bat,Right arm Medium
Rafiullah,Oman,Bowler,false,false,false,27y 259d,Right hand Bat,Right arm Medium
Shakeel Ahmed,Oman,Bowler,false,false,false,36y 87d,Left hand Bat,Slow Left arm Orthodox
Babar Azam,Pakistan,Batter,false,true,false,29y 222d,Right hand Bat,Right arm Offbreak
Azam Khan,Pakistan,Wicketkeeper Batter,false,false,false,25y 288d,Right hand Bat,
Fakhar Zaman,Pakistan,Opening Batter,false,false,false,34y 44d,Left hand Bat,Slow Left arm Orthodox
Iftikhar Ahmed,Pakistan,Middle order Batter,false,false,false,33y 264d,Right hand Bat,Right arm Offbreak
Mohammad Rizwan,Pakistan,Wicketkeeper Batter,false,false,false,31y 358d,Right hand Bat,Right arm Medium
Saim Ayub,Pakistan,Top order Batter,false,false,false,22y,Left hand Bat,"Right arm Medium fast, Right arm Offbreak"
Usman Khan,Pakistan,Top order Batter,false,false,false,29y 14d,Right hand Bat,Right arm Offbreak
Imad Wasim,Pakistan,Allrounder,false,false,false,35y 158d,Left hand Bat,Slow Left arm Orthodox
Shadab Khan,Pakistan,Allrounder,false,false,false,25y 233d,Right hand Bat,Legbreak
Abbas Afridi,Pakistan,Bowler,false,false,false,23y 49d,Right hand Bat,Right arm Medium fast
Abrar Ahmed,Pakistan,Bowler,false,false,false,25y 256d,Right hand Bat,Legbreak Googly
Haris Rauf,Pakistan,Bowler,false,false,false,30y 199d,Right hand Bat,Right arm Fast
Mohammad Amir,Pakistan,Bowler,false,false,false,32y 41d,Left hand Bat,Left arm Fast medium
Naseem Shah,Pakistan,Bowler,false,false,false,21y 99d,Right hand Bat,Right arm Fast
