Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style,Matches_Played,Innings_Batted,Notouts,Runs_Scored,Balls_Faced,Highest_Score,Batting_Average,Batting_Strike_Rate,Hundreds,Fifties,Ducks,Fours,Sixes,Innings_Bowled,Overs_Bowled,Maidens_Earned,Runs_Conceded,Wickets_Taken,Best_Bowling_Figures,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Five_Wickets_Haul,Ten_Wickets_Haul,Catches_Taken,Stumpings_Made
Brian Masaba,Uganda,Bowler,false,true,false,32y 227d,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",4,4,2,4,26,3*,2.00,15.38,,,1,0,0,3,12.0,,69,5,2/21,13.80,5.75,14.4,,,2,
Bilal Hassan,Uganda,Bowler,false,false,false,34y 21d,Right hand Bat,Right arm Medium fast,1,1,,8,16,8,8.00,50.00,,,,1,0,,,,,,,,,,,,,
Cosmas Kyewuta,Uganda,Bowler,false,false,false,22y 130d,Right hand Bat,Right arm Medium,4,3,1,4,14,2*,2.00,28.57,,,,0,0,4,13.1,,97,5,2/17,19.40,7.36,15.8,,,,
Juma Miyagi,Uganda,Bowler,false,false,false,21y 31d,Right hand Bat,Right arm Medium fast,3,3,1,26,37,13*,13.00,70.27,,,1,0,0,3,9.2,,56,2,2/11,28.00,6.00,28.0,,,,
Henry Ssenyondo,Uganda,Bowler,false,false,false,30y 268d,Right hand Bat,Slow Left arm Orthodox,1,1,,,1,,0.00,0.00,,,1,0,0,,,,,,,,,,,,,
Monank Patel,United States of America,Wicketkeeper Batter,false,true,false,31y 2d,Right hand Bat,,2,2,,66,54,50,33.00,122.22,,1,,9,1,,,,,,,,,,,,,
Aaron Jones,United States of America,Top order Batter,false,false,true,29y 197d,Right hand Bat,Legbreak Googly,6,6,2,162,120,94*,40.50,135.00,,1,1,8,14,,,,,,,,,,,,,
Andries Gous,United States of America,Wicketkeeper Batter,false,false,false,30y 161d,Right hand Bat,,6,6,1,219,145,80*,43.80,151.03,,2,,20,11,,,,,,,,,,,,,
Nitish Kumar,United States of America,Top order Batter,false,false,false,29y 348d,Right hand Bat,Right arm Offbreak,6,5,1,99,86,30,24.75,115.11,,,,6,4,,,,,,,,,,,,,
Shayan Jahangir,United States of America,Batter,false,false,false,29y 131d,Right hand Bat,Right arm Medium fast,2,2,,3,10,3,1.50,30.00,,,1,0,0,,,,,,,,,,,,,
Steven Taylor,United States of America,Opening Batter,false,false,false,30y 176d,Left hand Bat,Right arm Offbreak,6,6,,74,82,24,12.33,90.24,,,1,7,3,,,,,,,,,,,,,
Corey Anderson,United States of America,Batting Allrounder,false,false,false,33y 142d,Left hand Bat,Left arm Medium fast,6,5,1,66,72,29,16.50,91.66,,,,1,3,4,8.0,,69,1,1/29,69.00,8.62,48.0,,,2,
Harmeet Singh,United States of America,Bowling Allrounder,false,false,false,31y 239d,Left hand Bat,Slow Left arm Orthodox,6,4,,69,50,38,17.25,138.00,,,1,4,5,5,16.0,,139,4,2/24,34.75,8.68,24.0,,,2,
Milind Kumar,United States of America,Allrounder,false,false,false,33y 78d,Right hand Bat,Right arm Offbreak,2,2,,23,27,19,11.50,85.18,,,,1,0,,,,,,,,,,,,,
Nisarg Patel,United States of America,Allrounder,false,false,false,36y 13d,Right hand Bat,Slow Left arm Orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadley van Schalkwyk,United States of America,Allrounder,false,false,false,35y 272d,Left hand Bat,Right arm Medium,4,3,2,29,27,18,29.00,107.40,,,,4,0,,,,,,,,,,,,,
Ali Khan,United States of America,Bowler,false,false,false,33y 142d,Right hand Bat,Right arm Fast medium,6,2,1,14,8,14*,14.00,175.00,,,1,1,1,6,19.2,,181,3,1/21,60.33,9.36,38.6,,,1,
Jasdeep Singh,United States of America,Bowler,false,false,false,31y 83d,Right hand Bat,Right arm Medium,4,2,1,4,13,2*,4.00,30.76,,,,0,0,4,12.0,,121,1,1/37,121.00,10.08,72.0,,,1,
Nosthush Kenjige,United States of America,Bowler,false,false,false,33y 62d,Right hand Bat,Slow Left arm Orthodox,4,2,,1,4,1,0.50,25.00,,,1,0,0,4,10.0,,89,3,3/30,29.66,8.90,20.0,,,,
Saurabh Netravalkar,United States of America,Bowler,false,false,false,32y 200d,Right hand Bat,Left arm Fast medium,6,2,,,5,,0.00,0.00,,,2,0,0,6,18.5,,125,6,2/18,20.83,6.63,18.8,,,1,
Rovman Powell,West Indies,Middle order Batter,false,true,false,30y 285d,Right hand Bat,Right arm Medium fast,7,6,,102,71,36,17.00,143.66,,,,4,8,,,,,,,,,,,,,
Johnson Charles,West Indies,Wicketkeeper Batter,false,false,false,35y 110d,Right hand Bat,,6,6,,140,123,44,23.33,113.82,,,2,18,3,,,,,,,,,,,,,
Shimron Hetmyer,West Indies,Middle order Batter,false,false,false,27y 129d,Left hand Bat,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shai Hope,West Indies,Wicketkeeper Batter,false,false,false,30y 175d,Right hand Bat,,3,3,1,107,57,82*,53.50,187.71,,1,1,4,10,,,,,,,,,,,,,
Nicholas Pooran,West Indies,Wicketkeeper Batter,false,false,false,28y 214d,Left hand Bat,Right arm Offbreak,7,7,1,228,156,98,38.00,146.15,,1,,15,17,,,,,,,,,,,,,
Sherfane Rutherford,West Indies,Middle order Batter,false,false,false,25y 262d,Left hand Bat,Right arm Fast medium,7,6,3,121,82,68*,40.33,147.56,,1,1,5,9,,,,,,,,,,,,,
Brandon King,West Indies,Top order Batter,true,false,false,29y 139d,Right hand Bat,,5,5,1,86,68,34,21.50,126.47,,,,13,2,,,,,,,,,,,,,
Roston Chase,West Indies,Allrounder,false,false,false,32y 42d,Right hand Bat,Right arm Offbreak,6,3,1,94,72,52,47.00,130.55,,1,1,7,4,5,15.0,,80,7,3/12,11.42,5.33,12.8,,,4,
Kyle Mayers,West Indies,Batting Allrounder,false,false,false,31y 238d,Left hand Bat,Right arm Medium,1,1,,35,34,35,35.00,102.94,,,,3,2,,,,,,,,,,,,,
Andre Russell,West Indies,Allrounder,false,false,false,36y 4d,Right hand Bat,Right arm Fast,7,6,3,78,47,30*,26.00,165.95,,,,8,4,7,20.1,,141,11,3/31,12.81,6.99,11.0,,,3,
Romario Shepherd,West Indies,Bowling Allrounder,false,false,false,29y 159d,Right hand Bat,Right arm Fast medium,4,3,2,23,25,13,23.00,92.00,,,,1,1,4,10.0,,109,2,1/9,54.50,10.90,30.0,,,,
Jason Holder,West Indies,Bowling Allrounder,true,false,false,32y 180d,Right hand Bat,Right arm Medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzarri Joseph,West Indies,Bowler,false,false,true,27y 165d,Right hand Bat,Right arm Fast,7,2,1,17,13,11*,17.00,130.76,,,,1,1,7,24.3,,177,13,4/19,13.61,7.22,11.3,,,3,
Akeal Hosein,West Indies,Bowler,false,false,false,31y 8d,Left hand Bat,Slow Left arm Orthodox,7,2,,21,28,15,10.50,75.00,,,,1,1,7,25.0,1,141,9,5/11,15.66,5.64,16.6,1,,,
Shamar Joseph,West Indies,Bowler,false,false,false,24y 246d,Left hand Bat,Right arm Fast,,,,,,,,,,,,,,,,,,,,,,,,,,
Obed McCoy,West Indies,Bowler,false,false,false,27y 120d,Left hand Bat,Left arm Fast medium,3,,,,0,,0.00,0.00,,,,0,0,3,6.1,,49,3,3/14,16.33,7.94,12.3,,,,
Gudakesh Motie,West Indies,Bowler,false,false,false,29y 35d,Left hand Bat,Slow Left arm Orthodox,7,2,2,4,8,4*,0.00,50.00,,,,1,0,7,21.0,,149,8,3/25,18.62,7.09,15.7,,,,
